时间,今值,预测值
2011年1月1日 (十二月)17:00,1.00%, 
2010年12月1日 (十一月)17:00,0.40%, 
2010年11月1日 (十月)17:00,0.30%, 
2010年10月1日 (九月)17:00,0.00%, 
2010年9月1日 (八月)17:00,0.50%, 
2010年8月1日 (七月)17:00,-0.20%, 
2010年7月1日 (六月)17:00,0.10%, 
2010年6月1日 (五月)17:00,0.20%, 
2010年5月1日 (四月)17:00,0.60%, 
2010年4月1日 (三月)17:00,0.60%, 
2010年3月1日 (二月)17:00,0.40%, 
2010年2月1日 (一月)17:00,-0.20%, 
2010年1月1日 (十二月)17:00,0.60%, 
2009年12月1日 (十一月)17:00,0.30%, 
2009年11月1日 (十月)17:00,0.20%, 
2009年10月1日 (九月)17:00,0.00%, 
2009年9月1日 (八月)17:00,0.40%, 
2009年8月1日 (七月)17:00,0.00%, 
2009年7月1日 (六月)17:00,0.30%, 
2009年6月1日 (五月)17:00,0.60%, 
2009年5月1日 (四月)17:00,0.20%, 
2009年4月1日 (三月)17:00,0.20%, 
2009年3月1日 (二月)17:00,0.90%, 
2009年2月1日 (一月)17:00,-0.70%, 
2009年1月1日 (十二月)17:00,-0.40%, 
2008年12月1日 (十一月)17:00,-0.10%, 
2008年11月1日 (十月)17:00,-0.20%, 
2008年10月1日 (九月)17:00,0.50%, 
2008年9月1日 (八月)17:00,0.60%, 
2008年8月1日 (七月)17:00,0.00%, 
2008年7月1日 (六月)17:00,0.70%, 
2008年6月1日 (五月)17:00,0.60%, 
2008年5月1日 (四月)17:00,0.80%, 
2008年4月1日 (三月)17:00,0.40%, 
2008年3月1日 (二月)17:00,0.70%, 
2008年2月1日 (一月)17:00,-0.70%, 
2008年1月1日 (十二月)17:00,0.60%, 
2007年12月1日 (十一月)17:00,0.30%, 
2007年11月1日 (十月)17:00,0.50%, 
2007年10月1日 (九月)17:00,0.10%, 
2007年9月1日 (八月)17:00,0.40%, 
2007年8月1日 (七月)17:00,-0.60%, 
2007年7月1日 (六月)17:00,0.20%, 
2007年6月1日 (五月)17:00,0.30%, 
2007年5月1日 (四月)17:00,0.30%, 
2007年4月1日 (三月)17:00,0.50%, 
2007年3月1日 (二月)17:00,0.40%, 
2007年2月1日 (一月)17:00,-0.80%, 
2007年1月1日 (十二月)17:00,0.60%, 
2006年12月1日 (十一月)17:00,0.30%, 
2006年11月1日 (十月)17:00,0.20%, 
2006年10月1日 (九月)17:00,0.10%, 
2006年9月1日 (八月)17:00,0.40%, 
2006年8月1日 (七月)17:00,-0.10%, 
2006年7月1日 (六月)17:00,0.30%, 
2006年6月1日 (五月)17:00,0.50%, 
2006年5月1日 (四月)17:00,0.60%, 
2006年4月1日 (三月)17:00,0.20%, 
2006年3月1日 (二月)17:00,0.30%, 
2006年2月1日 (一月)17:00,-0.50%, 
2006年1月1日 (十二月)17:00,0.30%, 
2005年12月1日 (十一月)17:00,0.00%, 
2005年11月1日 (十月)17:00,0.20%, 
2005年10月1日 (九月)17:00,0.10%, 
2005年9月1日 (八月)17:00,0.30%, 
2005年8月1日 (七月)17:00,0.10%, 
2005年7月1日 (六月)17:00,0.10%, 
2005年6月1日 (五月)17:00,0.30%, 
2005年5月1日 (四月)17:00,0.40%, 
2005年4月1日 (三月)17:00,0.40%, 
2005年3月1日 (二月)17:00,0.30%, 
2005年2月1日 (一月)17:00,-0.50%, 
2005年1月1日 (十二月)17:00,0.50%, 
2004年12月1日 (十一月)17:00,0.20%, 
2004年11月1日 (十月)17:00,0.30%, 
2004年10月1日 (九月)17:00,0.10%, 
2004年9月1日 (八月)17:00,0.30%, 
2004年8月1日 (七月)17:00,-0.30%, 
2004年7月1日 (六月)17:00,0.00%, 
2004年6月1日 (五月)17:00,0.40%, 
2004年5月1日 (四月)17:00,0.40%, 
2004年4月1日 (三月)17:00,0.20%, 
2004年3月1日 (二月)17:00,0.20%, 
2004年2月1日 (一月)17:00,-0.50%, 
2004年1月1日 (十二月)17:00,0.30%, 
2003年12月1日 (十一月)17:00,0.00%, 
2003年11月1日 (十月)17:00,0.10%, 
2003年10月1日 (九月)17:00,0.30%, 
2003年9月1日 (八月)17:00,0.40%, 
2003年8月1日 (七月)17:00,-0.10%, 
2003年7月1日 (六月)17:00,-0.20%, 
2003年6月1日 (五月)17:00,0.00%, 
2003年5月1日 (四月)17:00,0.30%, 
2003年4月1日 (三月)17:00,0.40%, 
2003年3月1日 (二月)17:00,0.40%, 
2003年2月1日 (一月)17:00,-0.60%, 
2003年1月1日 (十二月)17:00,0.40%, 
2002年12月1日 (十一月)17:00,0.00%, 
2002年11月1日 (十月)17:00,0.20%, 
2002年10月1日 (九月)17:00,0.30%, 
2002年9月1日 (八月)17:00,0.30%, 
2002年8月1日 (七月)17:00,-0.30%, 
2002年7月1日 (六月)17:00,0.00%, 
2002年6月1日 (五月)17:00,0.20%, 
2002年5月1日 (四月)17:00,0.40%, 
2002年4月1日 (三月)17:00,0.40%, 
2002年3月1日 (二月)17:00,0.10%, 
2002年2月1日 (一月)17:00,-0.30%, 
2002年1月1日 (十二月)17:00,0.30%, 
2001年12月1日 (十一月)17:00,-0.20%, 
2001年11月1日 (十月)17:00,-0.20%, 
2001年10月1日 (九月)17:00,0.30%, 
2001年9月1日 (八月)17:00,0.40%, 
2001年8月1日 (七月)17:00,-0.80%, 
2001年7月1日 (六月)17:00,0.20%, 
2001年6月1日 (五月)17:00,0.80%, 
2001年5月1日 (四月)17:00,0.60%, 
2001年4月1日 (三月)17:00,0.30%, 
2001年3月1日 (二月)17:00,0.30%, 
2001年2月1日 (一月)17:00,-0.90%, 
2001年1月1日 (十二月)17:00,0.00%, 
2000年12月1日 (十一月)17:00,0.20%, 
2000年11月1日 (十月)17:00,0.00%, 
2000年10月1日 (九月)17:00,0.80%, 
2000年9月1日 (八月)17:00,0.00%, 
2000年8月1日 (七月)17:00,-0.50%, 
2000年7月1日 (六月)17:00,0.10%, 
2000年6月1日 (五月)17:00,0.30%, 
2000年5月1日 (四月)17:00,0.30%, 
2000年4月1日 (三月)17:00,0.20%, 
2000年3月1日 (二月)17:00,0.30%, 
2000年2月1日 (一月)17:00,-0.90%, 
2000年1月1日 (十二月)17:00,0.30%, 
1999年12月1日 (十一月)17:00,0.10%, 
1999年11月1日 (十月)17:00,-0.10%, 
1999年10月1日 (九月)17:00,0.40%, 
1999年9月1日 (八月)17:00,0.30%, 
1999年8月1日 (七月)17:00,-0.60%, 
1999年7月1日 (六月)17:00,-0.10%, 
1999年6月1日 (五月)17:00,0.30%, 
1999年5月1日 (四月)17:00,0.40%, 
1999年4月1日 (三月)17:00,0.50%, 
1999年3月1日 (二月)17:00,0.20%, 
1999年2月1日 (一月)17:00,-0.60%, 
1999年1月1日 (十二月)17:00,0.30%, 
1998年12月1日 (十一月)17:00,0.10%, 
1998年11月1日 (十月)17:00,0.00%, 
1998年10月1日 (九月)17:00,0.40%, 
1998年9月1日 (八月)17:00,0.40%, 
1998年8月1日 (七月)17:00,-0.50%, 
1998年7月1日 (六月)17:00,-0.10%, 
1998年6月1日 (五月)17:00,0.50%, 
1998年5月1日 (四月)17:00,0.50%, 
1998年4月1日 (三月)17:00,0.30%, 
1998年3月1日 (二月)17:00,0.30%, 
1998年2月1日 (一月)17:00,-0.60%, 
1998年1月1日 (十二月)17:00,0.10%, 
1997年12月1日 (十一月)17:00,0.10%, 
1997年11月1日 (十月)17:00,0.00%, 
1997年10月1日 (九月)17:00,0.40%, 
1997年9月1日 (八月)17:00,0.50%, 
1997年8月1日 (七月)17:00,-0.30%, 
1997年7月1日 (六月)17:00,0.20%, 
1997年6月1日 (五月)17:00,0.30%, 
1997年5月1日 (四月)17:00,0.40%, 
1997年4月1日 (三月)17:00,0.20%, 
1997年3月1日 (二月)17:00,0.20%, 
1997年2月1日 (一月)17:00,-0.40%, 
1997年1月1日 (十二月)17:00,0.30%, 
1996年12月1日 (十一月)17:00,0.10%, 
1996年11月1日 (十月)17:00,0.00%, 
1996年10月1日 (九月)17:00,0.50%, 
1996年9月1日 (八月)17:00,0.50%, 
1996年8月1日 (七月)17:00,-0.60%, 
1996年7月1日 (六月)17:00,0.10%, 
1996年6月1日 (五月)17:00,0.30%, 
1996年5月1日 (四月)17:00,0.50%, 
1996年4月1日 (三月)17:00,0.40%, 
1996年3月1日 (二月)17:00,0.50%, 
1996年2月1日 (一月)17:00,-0.30%, 
1996年1月1日 (十二月)17:00,0.60%, 
1995年12月1日 (十一月)17:00,0.00%, 
1995年11月1日 (十月)17:00,-0.20%, 
1995年10月1日 (九月)17:00,0.50%, 
1995年9月1日 (八月)17:00,0.60%, 
1995年8月1日 (七月)17:00,-0.60%, 
1995年7月1日 (六月)17:00,0.10%, 
1995年6月1日 (五月)17:00,0.50%, 
1995年5月1日 (四月)17:00,0.60%, 
1995年4月1日 (三月)17:00,0.50%, 
1995年3月1日 (二月)17:00,0.50%, 
1995年2月1日 (一月)17:00,0.00%, 
1995年1月1日 (十二月)17:00,0.50%, 
1994年12月1日 (十一月)17:00,0.10%, 
1994年11月1日 (十月)17:00,-0.20%, 
1994年10月1日 (九月)17:00,0.10%, 
1994年9月1日 (八月)17:00,0.60%, 
1994年8月1日 (七月)17:00,-0.60%, 
1994年7月1日 (六月)17:00,0.00%, 
1994年6月1日 (五月)17:00,0.20%, 
1994年5月1日 (四月)17:00,1.00%, 
1994年4月1日 (三月)17:00,0.20%, 
1994年3月1日 (二月)17:00,0.50%, 
1994年2月1日 (一月)17:00,-0.40%, 
1994年1月1日 (十二月)17:00,0.20%, 
1993年12月1日 (十一月)17:00,-0.20%, 
1993年11月1日 (十月)17:00,-0.10%, 
1993年10月1日 (九月)17:00,0.50%, 
1993年9月1日 (八月)17:00,0.40%, 
1993年8月1日 (七月)17:00,-0.40%, 
1993年7月1日 (六月)17:00,0.00%, 
1993年6月1日 (五月)17:00,0.40%, 
1993年5月1日 (四月)17:00,1.10%, 
1993年4月1日 (三月)17:00,0.50%, 
1993年3月1日 (二月)17:00,0.60%, 
1993年2月1日 (一月)17:00,-0.50%, 
1993年1月1日 (十二月)17:00,0.00%, 
1992年12月1日 (十一月)17:00,0.10%, 
1992年11月1日 (十月)17:00,0.20%, 
1992年10月1日 (九月)17:00,0.40%, 
1992年9月1日 (八月)17:00,0.00%, 
1992年8月1日 (七月)17:00,-0.50%, 
1992年7月1日 (六月)17:00,0.10%, 
1992年6月1日 (五月)17:00,0.40%, 
1992年5月1日 (四月)17:00,1.00%, 
1992年4月1日 (三月)17:00,0.50%, 
1992年3月1日 (二月)17:00,0.50%, 
1992年2月1日 (一月)17:00,-0.30%, 
1992年1月1日 (十二月)17:00,0.00%, 
1991年12月1日 (十一月)17:00,0.40%, 
1991年11月1日 (十月)17:00,0.50%, 
1991年10月1日 (九月)17:00,0.50%, 
1991年9月1日 (八月)17:00,0.40%, 
1991年8月1日 (七月)17:00,-0.30%, 
1991年7月1日 (六月)17:00,0.50%, 
1991年6月1日 (五月)17:00,0.80%, 
1991年5月1日 (四月)17:00,3.40%, 
1991年4月1日 (三月)17:00,0.30%, 
1991年3月1日 (二月)17:00,0.50%, 
1991年2月1日 (一月)17:00,0.00%, 
1991年1月1日 (十二月)17:00,-0.10%, 
1990年12月1日 (十一月)17:00,0.10%, 
1990年11月1日 (十月)17:00,0.80%, 
1990年10月1日 (九月)17:00,1.00%, 
1990年9月1日 (八月)17:00,1.10%, 
1990年8月1日 (七月)17:00,-0.30%, 
1990年7月1日 (六月)17:00,0.40%, 
1990年6月1日 (五月)17:00,1.00%, 
1990年5月1日 (四月)17:00,1.70%, 
1990年4月1日 (三月)17:00,0.60%, 
1990年3月1日 (二月)17:00,0.60%, 
1990年2月1日 (一月)17:00,0.40%, 
1990年1月1日 (十二月)17:00,0.10%, 
1989年12月1日 (十一月)17:00,0.30%, 
1989年11月1日 (十月)17:00,0.70%, 
1989年10月1日 (九月)17:00,0.70%, 
1989年9月1日 (八月)17:00,0.10%, 
1989年8月1日 (七月)17:00,-0.10%, 
1989年7月1日 (六月)17:00,0.40%, 
1989年6月1日 (五月)17:00,0.50%, 
1989年5月1日 (四月)17:00,1.40%, 
1989年4月1日 (三月)17:00,0.50%, 
1989年3月1日 (二月)17:00,0.30%, 
1989年2月1日 (一月)17:00,0.30%, 
1989年1月1日 (十二月)17:00,0.20%, 
1988年12月1日 (十一月)17:00,0.50%, 
1988年11月1日 (十月)17:00,0.50%, 
1988年10月1日 (九月)17:00,0.50%, 
1988年9月1日 (八月)17:00,0.30%, 
1988年8月1日 (七月)17:00,0.00%, 
1988年7月1日 (六月)17:00,0.30%, 
1988年6月1日 (五月)17:00,0.50%, 
1988年5月1日 (四月)17:00,1.30%, 
1988年4月1日 (三月)17:00,0.30%, 
1988年3月1日 (二月)17:00,0.30%, 
